lb,ub,method,Delta,M
-0.00537252667893531,-7.933120190900989e-4,FLCI,DeltaSD,0
-0.025322510069661925,0.01517867835586487,FLCI,DeltaSD,0.01
-0.03125060725813776,0.032589429487861574,FLCI,DeltaSD,0.02
-0.04125060724856054,0.042589429478284355,FLCI,DeltaSD,0.03
-0.05125060723898334,0.05258942946870715,FLCI,DeltaSD,0.04
-0.06125060722940613,0.06258942945912994,FLCI,DeltaSD,0.05
