cohort,estimate,std_error
21,-0.021303846819052442,0.013925797707413992
23,0.010976964342817547,0.0196638969162088
24,-0.0264882296038389,0.007014051206614016
25,-0.017553295065173898,0.009293794555403223
29,-0.0065063790420040344,0.004865702382853433
31,0.01650742927971171,0.003214397419060768
33,0.016321763278037166,0.0074150813233951505
41,0.013360034855564947,0.007143393901186622
