treated,untreated,estimate,weight,type
25,99999,-0.039235653249549717,0.32533904613206005,Treated vs Untreated
33,99999,0.029902802984651828,0.13013561845282404,Treated vs Untreated
29,99999,0.007571695509512628,0.03795622204874035,Treated vs Untreated
23,99999,0.04844004791342723,0.12301882681868521,Treated vs Untreated
21,99999,0.003890673211569023,0.12200214229952253,Treated vs Untreated
41,99999,-0.017824135731591653,0.027111587177671675,Treated vs Untreated
24,99999,-0.03258065127173315,0.04092155189629819,Treated vs Untreated
31,99999,0.055881293476709275,0.035583958170694076,Treated vs Untreated
33,25,0.03575187156443151,0.00929540131805886,Later vs Earlier Treated
29,25,0.02141017358567808,0.0015492335530098104,Later vs Earlier Treated
23,25,0.044160346250053606,0.0031952942030827325,Earlier vs Later Treated
21,25,0.0335726452544153,0.005809625823786787,Earlier vs Later Treated
41,25,0.012622115339255448,0.00309846710601962,Later vs Earlier Treated
24,25,0.007902765686314388,5.567558081129004e-4,Earlier vs Later Treated
31,25,0.03766992652745581,0.002033369038325377,Later vs Earlier Treated
25,33,-0.043356563271572134,0.018590802636117724,Earlier vs Later Treated
29,33,-0.007073435437670145,0.001355579358883584,Earlier vs Later Treated
23,33,0.02647876910232865,0.007988235507706831,Earlier vs Later Treated
21,33,-0.005536056761411369,0.00871443873568018,Earlier vs Later Treated
41,33,-0.005057482672572962,7.746167765049051e-4,Later vs Earlier Treated
24,33,-0.035261732463000246,0.002505401136508053,Earlier vs Later Treated
31,33,0.017048678935366282,7.262032279733486e-4,Earlier vs Later Treated
25,29,-0.02855003200656703,0.002323850329514716,Earlier vs Later Treated
33,29,0.01837211832702316,5.809625823786789e-4,Later vs Earlier Treated
23,29,0.04345118953202729,0.001198235326156025,Earlier vs Later Treated
21,29,0.013992564298787133,0.001452406455946697,Earlier vs Later Treated
41,29,-0.005917601910994422,2.9048129118933945e-4,Later vs Earlier Treated
24,29,-0.02347542051948418,3.4797238007056285e-4,Earlier vs Later Treated
31,29,0.028645439985185362,8.472370993022399e-5,Later vs Earlier Treated
25,23,-0.04591001497844462,0.0029048129118933947,Later vs Earlier Treated
33,23,0.007140199402676036,0.00435721936784009,Later vs Earlier Treated
29,23,-0.0016915197499438566,8.71443873568018e-4,Later vs Earlier Treated
21,23,-0.02337083116861586,0.0010893048419600227,Earlier vs Later Treated
41,23,-0.013241663286311203,0.0013071658103520271,Later vs Earlier Treated
24,23,-0.04416861408506868,1.906283473430038e-4,Later vs Earlier Treated
31,23,0.018390459575981226,0.0010166845191626878,Later vs Earlier Treated
25,21,-0.009826042448418292,0.005809625823786786,Later vs Earlier Treated
33,21,0.02746251379165903,0.0052286632414081085,Later vs Earlier Treated
29,21,0.01889329439127826,0.0011619251647573578,Later vs Earlier Treated
23,21,0.025532109572569652,0.0011982353261560256,Later vs Earlier Treated
41,21,0.0064335443291798165,0.001452406455946697,Later vs Earlier Treated
24,21,-0.007044528835336845,5.71885042029012e-4,Later vs Earlier Treated
31,21,0.03832127567088568,0.0012708556489533598,Later vs Earlier Treated
25,41,-0.013716481960122661,0.018590802636117714,Earlier vs Later Treated
33,41,0.0491902731438024,0.0061969342120392415,Earlier vs Later Treated
29,41,0.02725257121950058,0.0020333690383253756,Earlier vs Later Treated
23,41,0.06872773354910082,0.00718941195693615,Earlier vs Later Treated
21,41,0.030024621153982346,0.0072620322797334845,Earlier vs Later Treated
24,41,-0.004450490737891835,0.0023662121844798267,Earlier vs Later Treated
31,41,0.07373212268794199,0.0018155080699333716,Earlier vs Later Treated
25,24,0.001097995213185658,4.841354853155662e-4,Later vs Earlier Treated
33,24,0.03767866471768511,0.0013071658103520276,Later vs Earlier Treated
29,24,0.019435117548616845,2.4206774265778287e-4,Later vs Earlier Treated
23,24,0.037728245841134704,1.9970588769267083e-4,Earlier vs Later Treated
21,24,0.02939422610077974,5.446524209800113e-4,Earlier vs Later Treated
41,24,0.02044563416078135,4.115151625182307e-4,Later vs Earlier Treated
31,24,0.0409953083362053,2.96532984755784e-4,Later vs Earlier Treated
25,31,-0.0683873075602522,0.003485775494272074,Earlier vs Later Treated
33,31,-0.008535046529815227,2.904812911893395e-4,Later vs Earlier Treated
29,31,-0.023287762143503664,1.6944741986044798e-4,Earlier vs Later Treated
23,31,0.00544545505829461,0.001597647101541367,Earlier vs Later Treated
21,31,-0.025820214952584908,0.0018155080699333716,Earlier vs Later Treated
41,31,-0.0049509994489637535,2.4206774265778282e-4,Later vs Earlier Treated
24,31,-0.060046674751145904,4.8716133209878793e-4,Earlier vs Later Treated
