lb,ub,method,Delta,Mbar
-0.01968982415380588,-0.005513150763065647,C-LF,DeltaRM,0
-0.030716125679937166,7.875929661522313e-4,C-LF,DeltaRM,0.5
-0.04331761313837293,0.013389080424588001,C-LF,DeltaRM,1
-0.05749428652911316,0.027565753815328234,C-LF,DeltaRM,1.5
-0.07009577398754892,0.041742427206068466,C-LF,DeltaRM,2
