event_time,estimate,std_error,simultaneous_ci_low,simultaneous_ci_high,critical_value
-8,-0.011578911615447817,0.006691620925236201,-0.02937804619091313,0.006220222960017499,2.6599137599589957
-7,0.0019986873048651764,0.006615057770065414,-0.015596795880655486,0.01959417049038584,2.6599137599589957
-6,0.01027739762348957,0.008722505385486435,-0.012923714472682243,0.03347850971966138,2.6599137599589957
-5,-0.003156955936611535,0.003565698285291631,-0.012641405869520943,0.0063274939962978715,2.6599137599589957
-4,-0.0121288952072749,0.004921355183956541,-0.025219275578726434,9.614851641766373e-4,2.6599137599589957
-3,0.003143441651900778,0.004430491041261412,-0.008641282432125509,0.014928165735927066,2.6599137599589957
-2,0.012823800508478193,0.008432264874349796,-0.009605296858423741,0.03525289787538013,2.6599137599589957
-1,0,NA,NA,NA,2.6599137599589957
0,-0.012154389388008535,0.00403185284848345,-0.022878770257819536,-0.0014300085181975352,2.6599137599589957
1,0.0020874047472521215,0.005104541486484038,-0.011490235390928315,0.01566504488543256,2.6599137599589957
2,0.010288227765423841,0.00933002822276536,-0.014528842685115515,0.0351052982159632,2.6599137599589957
3,-0.0035472111935926317,0.003068456072728001,-0.011709039723271582,0.00461461733608632,2.6599137599589957
4,-0.014500358241815498,0.006037931866217081,-0.03056073629446121,0.0015600198108302165,2.6599137599589957
5,-0.002177648057508237,0.006416400906642479,-0.019244721118499945,0.01488942500348347,2.6599137599589957
6,0.005990635644607627,0.010628629262675295,-0.022280601580685226,0.03426187286990048,2.6599137599589957
7,-0.005225159455995716,0.00630349075902024,-0.021991901261688027,0.011541582349696593,2.6599137599589957
8,-0.015706782980546174,0.009037424717031704,-0.03974555333997233,0.008331987378879985,2.6599137599589957
